,Index,Laureate,Discipline,Year of award,Affiliation
0,,Alexei Abrikosov,Physics,2003,Argonne National Laboratory
1,,Edgar Adrian,Physiology or Medicine,1932,University of Cambridge
2,,Peter Agre,Chemistry,2003,Johns Hopkins School of Medicine
3,,Isamu Akasaki,Physics,2014,Meijo University
4,,Nagoya University,,,
5,,George Akerlof,Economics,2001,"University of California, Berkeley"
6,,Kurt Alder,Chemistry,1950,University of Cologne
7,,Zhores Alferov,Physics,2000,Ioffe Institute
8,,Hannes Alfvén,Physics,1970,KTH Royal Institute of Technology
9,,Maurice Allais,Economics,1988,Mines ParisTech
10,,James P. Allison,Physiology or Medicine,2018,MD Anderson Cancer Center
11,,Parker Institute for Cancer Immunotherapy,,,
12,,Harvey J. Alter,Physiology or Medicine,2020,National Institutes of Health
13,,Sidney Altman,Chemistry,1989,Yale University
14,,Luis Walter Alvarez,Physics,1968,"University of California, Berkeley"
15,,Hiroshi Amano,Physics,2014,Nagoya University
16,,Carl David Anderson,Physics,1936,California Institute of Technology
17,,Philip W. Anderson,Physics,1977,Bell Labs
18,,Christian B. Anfinsen,Chemistry,1972,National Institutes of Health
19,,Joshua Angrist,Economics,2021,Massachusetts Institute of Technology
20,,Edward Victor Appleton,Physics,1947,Department of Scientific and Industrial Research
21,,Werner Arber,Physiology or Medicine,1978,Biozentrum University of Basel
22,,Frances Arnold,Chemistry,2018,California Institute of Technology
23,,Svante Arrhenius,Chemistry,1903,Stockholm University
24,,Kenneth Arrow,Economics,1972,Harvard University
25,,Arthur Ashkin,Physics,2018,Bell Labs
26,,Francis William Aston,Chemistry,1922,University of Cambridge
27,,Robert Aumann,Economics,2005,Hebrew University of Jerusalem
28,,Richard Axel,Physiology or Medicine,2004,Columbia University
29,,Julius Axelrod,Physiology or Medicine,1970,National Institutes of Health
30,,Adolf von Baeyer,Chemistry,1905,Ludwig Maximilian University of Munich
31,,David Baltimore,Physiology or Medicine,1975,Massachusetts Institute of Technology
32,,Abhijit Banerjee,Economics,2019,Massachusetts Institute of Technology
33,,Frederick Banting,Physiology or Medicine,1923,University of Toronto
34,,Róbert Bárány,Physiology or Medicine,1914,University of Vienna
35,,John Bardeen,Physics,1956,University of Illinois Urbana-Champaign
36,,Physics,1972,University of Illinois Urbana-Champaign,
37,,Barry Barish,Physics,2017,California Institute of Technology
