,Index,Country,Number of Nobel laureates
0,,United States,398 (400)[Note 1]
1,,United Kingdom,137 (138)[Note 2]
2,,Germany,111
3,,France,70 (71)[Note 3]
4,,Russia/ Soviet Union,32
5,,Sweden,32
6,,Japan,29
7,,Canada,28
8,,Switzerland,27
9,,Austria,22
10,,Netherlands,22
11,,Italy,21
12,,Poland,18 (19)[Note 3]
13,,Denmark,13
14,,Hungary,13
15,,Israel,13
16,,Norway,13
17,,Australia,12
18,,India,12
19,,Belgium,11
20,,Ireland,11
21,,South Africa,11
22,,China,8
23,,Spain,8
24,,Czech Republic,6
25,,Ukraine,6
26,,Argentina,5
27,,Finland,5
28,,Romania,5
29,,Egypt,4
30,,Taiwan,4
31,,Lithuania,3
32,,Mexico,3
33,,New Zealand,3
34,,Algeria,2
35,,Bangladesh,2
36,,Belarus,2
37,,Bosnia and Herzegovina,2
38,,Chile,2
39,,Colombia,2
40,,Croatia,2
41,,East Timor,2
42,,Greece,2
43,,Guatemala,2
44,,Liberia,2
45,,Luxembourg,2
46,,Pakistan,2
47,,Portugal,2
48,,Saint Lucia,2
49,,Turkey,2
50,,Yugoslavia,2
51,,Brazil,1
52,,Bulgaria,1
53,,Democratic Republic of the Congo,1
54,,Costa Rica,1
55,,Cyprus,1
56,,Ethiopia,1
57,,Faroe Islands,1
58,,Ghana,1
59,,Hong Kong,1
60,,Iceland,1
61,,Iraq,1
62,,Iran,1
63,,Kenya,1
64,,Latvia,1
65,,Lebanon,1
66,,North Macedonia,1
67,,Morocco,1
68,,Myanmar,1
69,,Nigeria,1
70,,Palestine,1
71,,Peru,1
72,,Philippines,1
73,,Slovenia,1
74,,"Korea, South",1
75,,Tanzania,1
76,,Tibet,1
77,,Trinidad and Tobago,1
78,,Tunisia,1
79,,Venezuela,1
80,,Vietnam,1
81,,Yemen,1
